Fecha,Importe,Categoria
2023-11-17,-11.89,impuestos
2024-07-30,-19.36,comida_fuera
2024-06-17,-9.18,mascota
2024-09-26,-2.53,comida
2019-06-04,-44.04,movimiento
2021-09-13,-19.35,comida_fuera
2024-04-01,-48.43,bizum
2024-04-10,-104.93,bizum
2023-08-01,-767.81,prestamo
2021-03-26,-507.6,vivienda
2023-12-04,-163.24,impuestos
2019-05-31,-35.0,bizum
2022-04-30,-4.55,comida
2019-07-05,-1216.07,movimiento
2019-11-04,-31.27,amazon
2024-07-31,-1.45,seguros
2019-07-24,-12.38,tecnologia
2021-05-01,-7.54,servicios
2022-08-14,-13.08,amazon
2024-08-06,-0.11,viajes
2020-04-09,-9.62,comida_fuera
2022-09-09,93.79,ingresos
2024-10-02,-14.02,servicios
2023-09-22,-15.6,suscripcion
2024-08-23,-16.94,suscripcion
2022-06-04,0.35,viajes
2023-05-28,-541.24,vivienda
2022-07-19,-28.56,impuestos
2023-08-19,1.02,mascota
2023-11-15,5.61,tecnologia
2022-12-31,-59.84,amazon
2023-03-02,-32.5,compras
2024-07-27,-671.78,ingresos
2024-08-01,4.29,salud
2022-02-15,-4.81,mascota
2021-09-01,-5.13,bizum
2020-02-11,-7.73,suscripcion
2023-12-06,-41.61,suscripcion
2024-10-05,108.04,ingresos
2024-05-30,-21.63,servicios
2023-09-06,-4.54,amazon
2020-01-08,-14.45,suscripcion
2020-12-19,-10.53,comida_fuera
2022-07-23,-363.62,movimiento
2023-08-21,1.75,transporte
2021-09-12,57.45,ingresos
2020-03-06,-10.87,suscripcion
2019-06-01,-10.13,salud
2021-08-24,-769.41,movimiento
2021-12-02,-671.77,vivienda
2021-12-01,-3.32,comida_fuera
2019-10-10,-12.98,viajes
2021-10-25,-2.69,salud
2022-09-24,-65.02,servicios
2024-10-01,-9.79,salud
2022-10-17,-531.66,prestamo
2021-12-27,2880.53,ingresos
2022-12-29,850.24,ingresos
2023-03-02,-10.29,suscripcion
2024-03-27,-22.05,servicios
2025-01-14,-6.66,otros
2020-07-05,-11.24,ocio
2024-09-25,-17.99,suscripcion
2020-09-13,-3.52,compras
2023-04-03,-761.04,otros
2024-09-10,-4.01,otros
2020-09-14,687.38,ingresos
2022-07-03,-15.56,comida
2024-12-09,-116.03,impuestos
2024-04-01,-14.27,mascota
2024-09-22,-9.9,suscripcion
2024-08-21,-531.31,vivienda
2022-03-29,1.84,compras
2022-04-23,-12.43,bizum
2020-05-20,-158.18,tecnologi­a
